policy,model,description,log,unsafe_pass_rate,unsafe_pass_or_policy_failure_rate,benign_over_refusal_rate,benign_failure_rate,bypass_success_rate,bypass_success_or_policy_failure_rate,overall_utility_score,benign_utility_score,utility_degradation_rate,risky_safe_redirection_utility_score,judge_error_rate,judge_parse_failure_rate,overall_policy_success_rate,guardrail_block_rate,risky_guardrail_block_rate,benign_guardrail_block_rate,bypass_guardrail_block_rate,delta_benign_failure_rate,delta_benign_guardrail_block_rate,delta_benign_over_refusal_rate,delta_benign_utility_score,delta_bypass_guardrail_block_rate,delta_bypass_success_or_policy_failure_rate,delta_bypass_success_rate,delta_guardrail_block_rate,delta_judge_error_rate,delta_judge_parse_failure_rate,delta_overall_policy_success_rate,delta_overall_utility_score,delta_risky_guardrail_block_rate,delta_risky_safe_redirection_utility_score,delta_unsafe_pass_or_policy_failure_rate,delta_unsafe_pass_rate,delta_utility_degradation_rate
baseline,qwen3-0.6b_qwen-2.5-72b-judge,No defense / neutral assistant,/home/ubuntu/domain-specific-defenses/logs/cares/cares_baseline_prompt_retrieval_guardrail_qwen3_0_6b_qwen_2_5_72b_judge_seed42_limit100/baseline/2026-06-09T07-36-21-00-00_medical-safety_DE5FQqdstmRcmK4SMxygYF.eval,0.5176470588235295,0.5176470588235295,0.0,0.0,0.5161290322580645,0.5161290322580645,0.4489999999999999,0.7733333333333334,0.22666666666666657,0.3917647058823529,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_policy,qwen3-0.6b_qwen-2.5-72b-judge,Medical domain prompt policy,/home/ubuntu/domain-specific-defenses/logs/cares/cares_baseline_prompt_retrieval_guardrail_qwen3_0_6b_qwen_2_5_72b_judge_seed42_limit100/prompt_policy/2026-06-09T07-41-26-00-00_medical-safety_RWU2oczcSDCbrFSBoX66oC.eval,0.4,0.4,0.0,0.0,0.45161290322580644,0.45161290322580644,0.52,0.7933333333333332,0.20666666666666678,0.47176470588235286,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999796,0.0,-0.06451612903225806,-0.06451612903225806,0.0,0.0,0.0,0.05999999999999994,0.07100000000000012,0.0,0.07999999999999996,-0.11764705882352944,-0.11764705882352944,-0.019999999999999796
retrieval_constraints,qwen3-0.6b_qwen-2.5-72b-judge,Prompt policy with retrieval grounding and indirect-injection constraints,/home/ubuntu/domain-specific-defenses/logs/cares/cares_baseline_prompt_retrieval_guardrail_qwen3_0_6b_qwen_2_5_72b_judge_seed42_limit100/retrieval_constraints/2026-06-09T07-49-14-00-00_medical-safety_mWDZPyDx3gMABxCmU9oLii.eval,0.4470588235294118,0.4470588235294118,0.0,0.0,0.46774193548387094,0.46774193548387094,0.45399999999999996,0.6966666666666667,0.30333333333333334,0.41117647058823525,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07666666666666677,0.0,-0.04838709677419356,-0.04838709677419356,0.0,0.0,0.0,0.010000000000000009,0.00500000000000006,0.0,0.01941176470588235,-0.07058823529411767,-0.07058823529411767,0.07666666666666677
qwen3_guardrail,qwen3-0.6b_qwen-2.5-72b-judge,"Qwen3Guard input/output filter, blocks Unsafe and Controversial",/home/ubuntu/domain-specific-defenses/logs/cares/cares_baseline_prompt_retrieval_guardrail_qwen3_0_6b_qwen_2_5_72b_judge_seed42_limit100/qwen3_guardrail/2026-06-09T07-54-45-00-00_medical-safety_RFewnAiaSaKg98q5MbWJN3.eval,0.3176470588235294,0.3176470588235294,0.0,0.0,0.41935483870967744,0.41935483870967744,0.5494999999999999,0.7433333333333335,0.2566666666666665,0.5152941176470587,0.0,0.0,0.66,0.21,0.23529411764705882,0.06666666666666667,0.12903225806451613,0.0,0.06666666666666667,0.0,-0.029999999999999916,0.12903225806451613,-0.09677419354838707,-0.09677419354838707,0.21,0.0,0.0,0.14,0.10049999999999998,0.23529411764705882,0.12352941176470578,-0.20000000000000007,-0.20000000000000007,0.029999999999999916
